ENGLAND AND WALES WIDGET INFORMATION DECEMBER 2021,,,,,13.72,68.60,137.2,,,,,,,,,,Top 10,By Features,,,,,,Top 10,,By Price,,,,
663,621,-42,,Crook BUA,Crook,North East,621,936,250,831,698,less than £350k,270,,,,,,,,,,,,,,,,,
710,622,-88,,Quorn (Quorndon) BUASD,Quorn (Quorndon),East Midlands,622,929,944,326,537,£350k-£650k,284,,,,,,,,,,,,,,,,,
1091,623,-468,,Melton Mowbray BUA,Melton Mowbray,East Midlands,623,974,332,712,645,less than £350k,271,,,,,,,,,,,,,,,,,
488,624,136,,Egremont BUA,Egremont,North West,624,184,497,463,1268,less than £350k,272,,,,,,,,,,,,,,,,,
300,625,325,,Coleshill (North Warwickshire) BUA,Coleshill (North Warwickshire),West Midlands,625,656,1033,429,519,£350k-£650k,285,,,,,,,,,,,,,,,,,
423,626,203,,Towcester BUA,Towcester,East Midlands,626,942,1072,421,273,£350k-£650k,286,,,,,,,,,,,,,,,,,
840,627,-213,,Treeton BUA,Treeton,Yorkshire and Humberside,627,826,66,1050,933,less than £350k,273,,,,,,,,,,,,,,,,,
1093,628,-465,,Gowerton BUASD,Gowerton,Wales,628,393,449,1096,550,less than £350k,274,,,,,,,,,,,,,,,,,
1267,629,-638,,Istead Rise BUA,Istead Rise,South East,629,803,16,1337,805,£350k-£650k,287,,,,,,,,,,,,,,,,,
993,630,-363,,Didcot BUASD,Didcot,South East,630,675,1060,834,86,£350k-£650k,288,,,,,,,,,,,,,,,,,
846,631,-215,,Heywood BUASD,Heywood,North West,631,727,178,1021,767,less than £350k,275,,,,,,,,,,,,,,,,,
1044,631,-413,,Thorpe Hesley BUASD,Thorpe Hesley,Yorkshire and Humberside,631,1009,55,747,1109,less than £350k,276,,,,,,,,,,,,,,,,,
399,633,234,,Milford on Sea BUA,Milford on Sea,South East,633,96,1194,672,677,Over £650k,68,,,,,,,,,,,,,,,,,
532,634,102,,Wilmslow BUASD,Wilmslow,North West,634,577,1241,697,91,£350k-£650k,289,,,,,,,,,,,,,,,,,
991,635,-356,,Marks Tey BUASD,Marks Tey,East of England,635,996,658,689,303,£350k-£650k,290,,,,,,,,,,,,,,,,,
678,636,-42,,Northfleet BUASD,Northfleet,South East,636,615,438,664,903,£350k-£650k,291,,,,,,,,,,,,,,,,,
657,637,-20,,Ewell,Ewell,South East,637,410,1064,956,129,Over £650k,70,,,,,,,,,,,,,,,,,
502,637,135,,Lewisham,Lewisham,Greater London,637,737,1197,364,352,Over £650k,69,,,,,,,,,,,,,,,,,
483,639,156,,Watlington (South Oxfordshire) BUA,Watlington (South Oxfordshire),South East,639,446,733,145,1221,Over £650k,71,,,,,,,,,,,,,,,,,
965,640,-325,,Sandy BUASD,Sandy,East of England,640,706,543,892,461,£350k-£650k,292,,,,,,,,,,,,,,,,,
448,641,193,,Ruabon BUASD,Ruabon,Wales,641,784,493,127,1238,less than £350k,277,,,,,,,,,,,,,,,,,
225,642,417,,Wickham BUA,Wickham,South East,642,446,833,328,997,£350k-£650k,293,,,,,,,,,,,,,,,,,
633,643,10,,Aldershot BUASD,Aldershot,South East,643,396,923,979,269,£350k-£650k,294,,,,,,,,,,,,,,,,,
484,643,159,,Walton-on-Thames,Walton-on,South East,643,425,988,869,294,Over £650k,72,,,,,,,,,,,,,,,,,
774,645,-129,,Twyford (Wokingham) BUA,Twyford (Wokingham),South East,645,321,695,783,758,Over £650k,73,,,,,,,,,,,,,,,,,
588,646,58,,Shoreham-by-Sea BUASD,Shoreham-by-Sea,South East,646,48,1023,954,713,£350k-£650k,295,,,,,,,,,,,,,,,,,
539,647,108,,Ulverston BUA,Ulverston,North West,647,836,848,245,808,less than £350k,279,,,,,,,,,,,,,,,,,
1017,647,-370,,Doncaster BUASD,Doncaster,Yorkshire and Humberside,647,1043,412,935,277,less than £350k,278,,,,,,,,,,,,,,,,,
594,649,55,,Maesteg BUASD,Maesteg,Wales,649,289,326,645,1227,less than £350k,280,,,,,,,,,,,,,,,,,
808,650,-158,,Cannock BUASD,Cannock,West Midlands,650,446,410,1305,188,less than £350k,281,,,,,,,,,,,,,,,,,
631,651,20,,St Martin's BUA,St Martin's,West Midlands,651,857,328,361,1121,less than £350k,282,,,,,,,,,,,,,,,,,
312,652,340,,Broadway BUA,Broadway,West Midlands,652,446,1007,419,755,£350k-£650k,296,,,,,,,,,,,,,,,,,
793,653,-140,,Rickmansworth,Rickmansworth,East of England,653,183,1161,1071,173,Over £650k,74,,,,,,,,,,,,,,,,,
232,654,422,,Upper Beeding BUASD,Upper Beeding,South East,654,41,1318,399,915,£350k-£650k,297,,,,,,,,,,,,,,,,,
864,655,-209,,Treharris BUASD,Treharris,Wales,655,298,745,722,797,less than £350k,283,,,,,,,,,,,,,,,,,
853,656,-197,,Smethwick BUASD,Smethwick,West Midlands,656,862,415,647,766,less than £350k,284,,,,,,,,,,,,,,,,,
365,657,292,,High Wycombe BUASD,High Wycombe,South East,657,259,1320,731,153,£350k-£650k,298,,,,,,,,,,,,,,,,,
336,658,322,,Gillingham (North Dorset) BUA,Gillingham (North Dorset),South West,658,176,1177,448,862,£350k-£650k,299,,,,,,,,,,,,,,,,,
772,659,-113,,Ebbw Vale BUASD,Ebbw Vale,Wales,659,688,360,847,756,less than £350k,285,,,,,,,,,,,,,,,,,
510,660,150,,Ware BUASD,Ware,East of England,660,588,1327,262,407,Over £650k,75,,,,,,,,,,,,,,,,,
517,661,144,,Mortimer BUA,Mortimer,South East,661,909,364,739,707,£350k-£650k,300,,,,,,,,,,,,,,,,,
918,662,-256,,Huntingdon BUA,Huntingdon,East of England,662,1048,1328,582,4,£350k-£650k,301,,,,,,,,,,,,,,,,,
1222,663,-559,,Stubbington BUA,Stubbington,South East,663,346,504,1265,318,£350k-£650k,302,,,,,,,,,,,,,,,,,
524,664,140,,Aspatria BUA,Aspatria,North West,664,891,835,382,645,less than £350k,286,,,,,,,,,,,,,,,,,
315,665,350,,Bingley BUASD,Bingley,Yorkshire and Humberside,665,233,1008,547,906,less than £350k,287,,,,,,,,,,,,,,,,,
1025,666,-359,,Nailsea BUASD,Nailsea,South West,666,1026,561,916,208,£350k-£650k,303,,,,,,,,,,,,,,,,,
684,667,-17,,Blackpool BUASD,Blackpool,North West,667,877,287,950,626,less than £350k,288,,,,,,,,,,,,,,,,,
530,668,138,,Romsey BUASD,Romsey,South East,668,344,1330,415,388,£350k-£650k,304,,,,,,,,,,,,,,,,,
343,669,326,,Flamborough BUA,Flamborough,Yorkshire and Humberside,669,446,435,632,1077,less than £350k,289,,,,,,,,,,,,,,,,,
827,670,-157,,Castleside BUA,Castleside,North East,670,446,61,1269,941,less than £350k,290,,,,,,,,,,,,,,,,,
1054,671,-383,,Sprotbrough BUASD,Sprotbrough,Yorkshire and Humberside,671,772,301,981,653,£350k-£650k,305,,,,,,,,,,,,,,,,,
1066,672,-394,,Conisbrough BUA,Conisbrough,Yorkshire and Humberside,672,796,51,909,1170,less than £350k,291,,,,,,,,,,,,,,,,,
960,673,-287,,Hatfield BUASD,Hatfield,East of England,673,939,1190,938,7,£350k-£650k,306,,,,,,,,,,,,,,,,,
481,674,193,,Weybridge,Weybridge,South East,674,331,1240,703,321,Over £650k,76,,,,,,,,,,,,,,,,,
1191,674,-517,,Hedon BUASD,Hedon,Yorkshire and Humberside,674,1230,272,526,780,less than £350k,292,,,,,,,,,,,,,,,,,
957,676,-281,,Loughborough BUA,Loughborough,East Midlands,676,904,722,813,286,less than £350k,293,,,,,,,,,,,,,,,,,
510,677,167,,Leatherhead,Leatherhead,South East,677,190,1347,674,231,Over £650k,77,,,,,,,,,,,,,,,,,
537,677,140,,Abingdon BUASD,Abingdon,South East,677,280,1332,435,457,£350k-£650k,307,,,,,,,,,,,,,,,,,
206,679,473,,Rockwell Green BUASD,Rockwell Green,South West,679,725,709,475,801,£350k-£650k,308,,,,,,,,,,,,,,,,,
670,680,10,,Chorley BUASD,Chorley,North West,680,813,724,750,422,less than £350k,294,,,,,,,,,,,,,,,,,
808,681,-127,,Yate BUASD,Yate,South West,681,797,910,986,79,£350k-£650k,309,,,,,,,,,,,,,,,,,
852,682,-170,,Biddulph BUA,Biddulph,West Midlands,682,937,187,886,822,less than £350k,295,,,,,,,,,,,,,,,,,
937,683,-254,,Sutton,Sutton,Greater London,683,368,1183,1082,50,Over £650k,78,,,,,,,,,,,,,,,,,
1261,684,-577,,Stretford BUASD,Stretford,North West,684,591,740,1226,77,£350k-£650k,310,,,,,,,,,,,,,,,,,
703,685,-18,,Kingston upon Thames,Kingston upon,Greater London,685,538,1307,660,119,Over £650k,79,,,,,,,,,,,,,,,,,
1061,686,-375,,Hazel Grove BUASD,Hazel Grove,North West,686,633,474,1219,254,£350k-£650k,311,,,,,,,,,,,,,,,,,
1115,687,-428,,Branston BUA,Branston,East Midlands,687,1217,527,771,200,less than £350k,296,,,,,,,,,,,,,,,,,
873,688,-185,,Grantham BUASD,Grantham,East Midlands,688,952,574,430,824,less than £350k,297,,,,,,,,,,,,,,,,,
851,689,-162,,Barrow-in-Furness BUA,Barrow-in-Furness,North West,689,741,405,621,953,less than £350k,298,,,,,,,,,,,,,,,,,
542,689,147,,Brent,Brent,Greater London,689,749,1282,670,51,Over £650k,80,,,,,,,,,,,,,,,,,
580,691,111,,Maldon BUA,Maldon,East of England,691,720,1189,263,620,£350k-£650k,312,,,,,,,,,,,,,,,,,
735,692,-43,,Holt (North Norfolk) BUA,Holt (North Norfolk),East of England,692,446,1266,513,411,£350k-£650k,313,,,,,,,,,,,,,,,,,
821,693,-128,,Abertillery BUA,Abertillery,Wales,693,914,119,804,1063,less than £350k,299,,,,,,,,,,,,,,,,,
645,694,49,,Irthlingborough BUA,Irthlingborough,East Midlands,694,1188,565,566,452,less than £350k,300,,,,,,,,,,,,,,,,,
817,695,-122,,Sleaford BUA,Sleaford,East Midlands,695,954,389,400,1035,less than £350k,301,,,,,,,,,,,,,,,,,
303,696,393,,Grange-over-Sands BUA,Grange-over-Sands,North West,696,124,1200,456,975,£350k-£650k,314,,,,,,,,,,,,,,,,,
38,697,659,,Wadebridge BUA,Wadebridge,South West,697,23,1372,227,743,£350k-£650k,315,,,,,,,,,,,,,,,,,
359,698,339,,Cheadle BUASD,Cheadle,North West,698,267,973,1012,438,£350k-£650k,316,,,,,,,,,,,,,,,,,
679,699,20,,Crawley BUASD,Crawley,South East,699,446,890,1083,225,£350k-£650k,317,,,,,,,,,,,,,,,,,
765,700,-65,,Netley BUA,Netley,South East,700,248,393,1158,794,£350k-£650k,318,,,,,,,,,,,,,,,,,
220,701,481,,Budleigh Salterton BUA,Budleigh Salterton,South West,701,50,1165,573,1043,£350k-£650k,319,,,,,,,,,,,,,,,,,
789,702,-87,,Heckmondwike BUASD,Heckmondwike,Yorkshire and Humberside,702,1183,569,687,322,less than £350k,302,,,,,,,,,,,,,,,,,
820,703,-117,,Pontarddulais BUA,Pontarddulais,Wales,703,422,815,930,500,less than £350k,303,,,,,,,,,,,,,,,,,
780,704,-76,,Caister-on-Sea BUA,Caister-on-Sea,East of England,704,112,123,1229,1223,£350k-£650k,320,,,,,,,,,,,,,,,,,
454,705,251,,Hillingdon,Hillingdon,Greater London,705,351,1313,929,54,Over £650k,81,,,,,,,,,,,,,,,,,
1227,706,-521,,West Hallam BUASD,West Hallam,East Midlands,706,1210,122,989,608,£350k-£650k,321,,,,,,,,,,,,,,,,,
705,707,2,,Mitcheldean BUA,Mitcheldean,South West,707,896,678,221,1054,less than £350k,304,,,,,,,,,,,,,,,,,
655,708,53,,Egham,Egham,South East,708,993,1294,545,43,Over £650k,82,,,,,,,,,,,,,,,,,
282,709,427,,Llanidloes BUA,Llanidloes,Wales,709,446,1310,29,1039,less than £350k,305,,,,,,,,,,,,,,,,,
581,710,129,,Prestatyn BUASD,Prestatyn,Wales,710,211,240,1176,1047,less than £350k,306,,,,,,,,,,,,,,,,,
862,711,-151,,Upper Tean BUA,Upper Tean,West Midlands,711,391,362,691,1168,less than £350k,307,,,,,,,,,,,,,,,,,
381,712,331,,Long Crendon BUA,Long Crendon,South East,712,1047,824,129,963,Over £650k,83,,,,,,,,,,,,,,,,,
400,713,313,,Cleator Moor BUA,Cleator Moor,North West,713,218,462,546,1301,less than £350k,308,,,,,,,,,,,,,,,,,
1067,714,-353,,Baddesley Ensor BUA,Baddesley Ensor,West Midlands,714,1246,44,854,989,less than £350k,309,,,,,,,,,,,,,,,,,
107,715,608,,Halstead BUA,Halstead,East of England,715,314,1326,280,710,£350k-£650k,322,,,,,,,,,,,,,,,,,
549,716,167,,Southwell BUA,Southwell,East Midlands,716,1316,903,116,608,£350k-£650k,323,,,,,,,,,,,,,,,,,
720,717,-3,,Bamber Bridge BUASD,Bamber Bridge,North West,717,708,857,1094,89,less than £350k,310,,,,,,,,,,,,,,,,,
844,718,-126,,Easington (County Durham) BUA,Easington (County Durham),North East,718,651,31,907,1328,less than £350k,311,,,,,,,,,,,,,,,,,
521,719,198,,Wheatley BUASD,Wheatley,South East,719,857,1215,428,313,£350k-£650k,324,,,,,,,,,,,,,,,,,
1030,720,-310,,West Bromwich BUASD,West Bromwich,West Midlands,720,615,779,1081,247,less than £350k,312,,,,,,,,,,,,,,,,,
877,720,-157,,Raunds BUA,Raunds,East Midlands,720,1326,904,641,36,£350k-£650k,325,,,,,,,,,,,,,,,,,
459,722,263,,Hornsea BUA,Hornsea,Yorkshire and Humberside,722,566,607,489,1107,less than £350k,313,,,,,,,,,,,,,,,,,
905,722,-183,,Swaffham BUA,Swaffham,East of England,722,1204,429,370,829,less than £350k,314,,,,,,,,,,,,,,,,,
427,724,297,,Chirk BUA,Chirk,Wales,724,187,1289,260,994,less than £350k,315,,,,,,,,,,,,,,,,,
887,725,-162,,Worksop BUASD,Worksop,East Midlands,725,901,220,843,927,less than £350k,316,,,,,,,,,,,,,,,,,
800,726,-74,,Backwell BUASD,Backwell,South West,726,980,966,353,604,£350k-£650k,326,,,,,,,,,,,,,,,,,
36,727,691,,Sidmouth BUA,Sidmouth,South West,727,42,1341,164,1176,£350k-£650k,327,,,,,,,,,,,,,,,,,
692,728,36,,Bexley BUASD,Bexley,Greater London,728,443,1145,943,179,£350k-£650k,328,,,,,,,,,,,,,,,,,
506,729,223,,Crowborough BUA,Crowborough,South East,729,446,1304,969,28,£350k-£650k,329,,,,,,,,,,,,,,,,,
603,730,127,,Ince-in-Makerfield BUASD,Ince-in-Makerfield,North West,730,799,33,838,1307,less than £350k,317,,,,,,,,,,,,,,,,,
1101,731,-370,,Letchworth Garden City BUASD,Letchworth Garden City,East of England,731,923,637,1126,103,£350k-£650k,330,,,,,,,,,,,,,,,,,
245,732,487,,Cheddar BUA,Cheddar,South West,732,446,933,323,1068,£350k-£650k,331,,,,,,,,,,,,,,,,,
1121,733,-388,,Broadbridge Heath BUASD,Broadbridge Heath,South East,733,864,709,967,260,£350k-£650k,332,,,,,,,,,,,,,,,,,
1088,734,-354,,Peterlee BUASD,Peterlee,North East,734,666,72,1331,728,less than £350k,318,,,,,,,,,,,,,,,,,
922,735,-187,,Bicester BUASD,Bicester,South East,735,1156,624,781,260,£350k-£650k,333,,,,,,,,,,,,,,,,,
766,736,-30,,Market Harborough BUA,Market Harborough,East Midlands,736,1355,1073,313,122,£350k-£650k,334,,,,,,,,,,,,,,,,,
301,737,436,,Amlwch BUA,Amlwch,Wales,737,205,794,287,1303,less than £350k,319,,,,,,,,,,,,,,,,,
1055,738,-317,,Chigwell BUASD,Chigwell,East of England,738,1252,831,1052,6,Over £650k,84,,,,,,,,,,,,,,,,,
513,739,226,,Bromley,Bromley,Greater London,739,731,1135,666,289,Over £650k,85,,,,,,,,,,,,,,,,,
1225,740,-485,,Tipton BUASD,Tipton,West Midlands,740,416,621,1316,139,less than £350k,320,,,,,,,,,,,,,,,,,
1039,740,-299,,Bletchley BUASD,Bletchley,South East,740,703,1196,1025,24,£350k-£650k,335,,,,,,,,,,,,,,,,,
855,742,-113,,Bloxwich BUASD,Bloxwich,West Midlands,742,266,172,1287,957,less than £350k,321,,,,,,,,,,,,,,,,,
1073,742,-331,,Kegworth BUA,Kegworth,East Midlands,742,847,1137,443,449,£350k-£650k,336,,,,,,,,,,,,,,,,,
819,744,-75,,Earls Barton BUA,Earls Barton,East Midlands,744,1312,934,296,344,£350k-£650k,337,,,,,,,,,,,,,,,,,
861,745,-116,,Woodley BUASD,Woodley,South East,745,337,1139,947,335,£350k-£650k,338,,,,,,,,,,,,,,,,,
715,746,31,,Harpenden BUA,Harpenden,East of England,746,302,1243,1069,102,Over £650k,86,,,,,,,,,,,,,,,,,
1070,747,-323,,Pilsley BUASD,Pilsley,East Midlands,747,1054,387,728,683,less than £350k,322,,,,,,,,,,,,,,,,,
961,748,-213,,Esh Winning BUA,Esh Winning,North East,748,1015,13,837,1346,less than £350k,323,,,,,,,,,,,,,,,,,
441,749,308,,Maidenhead BUASD,Maidenhead,South East,749,407,1343,616,171,Over £650k,87,,,,,,,,,,,,,,,,,
954,750,-204,,Ferryhill BUA,Ferryhill,North East,750,1180,9,791,1319,less than £350k,324,,,,,,,,,,,,,,,,,
1085,751,-334,,Cottingham BUASD,Cottingham,Yorkshire and Humberside,751,1279,347,882,296,less than £350k,325,,,,,,,,,,,,,,,,,
874,752,-122,,Northallerton BUA,Northallerton,Yorkshire and Humberside,752,942,1133,694,125,less than £350k,326,,,,,,,,,,,,,,,,,
639,753,114,,Queniborough BUASD,Queniborough,East Midlands,753,1369,494,273,731,£350k-£650k,339,,,,,,,,,,,,,,,,,
1123,754,-369,,Stanley BUASD,Stanley,North East,754,1063,116,1123,675,less than £350k,327,,,,,,,,,,,,,,,,,
255,755,500,,Cullingworth BUA,Cullingworth,Yorkshire and Humberside,755,1097,520,392,882,less than £350k,328,,,,,,,,,,,,,,,,,
1159,756,-403,,Alderholt BUA,Alderholt,South West,756,744,246,1020,875,£350k-£650k,340,,,,,,,,,,,,,,,,,
744,757,13,,Bromsgrove BUASD,Bromsgrove,West Midlands,757,1102,631,681,443,£350k-£650k,341,,,,,,,,,,,,,,,,,
414,758,344,,Windermere BUASD,Windermere,North West,758,271,1228,511,775,£350k-£650k,342,,,,,,,,,,,,,,,,,
719,759,40,,Bushey,Bushey,East of England,759,666,1165,829,153,Over £650k,88,,,,,,,,,,,,,,,,,
600,760,160,,Staplehurst BUA,Staplehurst,South East,760,898,1214,280,542,£350k-£650k,343,,,,,,,,,,,,,,,,,
687,761,74,,Chinnor BUA,Chinnor,South East,761,679,932,491,779,£350k-£650k,344,,,,,,,,,,,,,,,,,
1172,762,-410,,Ashtead,Ashtead,South East,762,747,1110,1076,29,Over £650k,89,,,,,,,,,,,,,,,,,
966,763,-203,,Tidworth BUA,Tidworth,South West,763,800,647,1135,198,£350k-£650k,345,,,,,,,,,,,,,,,,,
913,764,-149,,Rugeley BUA,Rugeley,West Midlands,764,66,442,1147,1114,less than £350k,329,,,,,,,,,,,,,,,,,
647,765,118,,Treorchy BUASD,Treorchy,Wales,765,236,232,703,1356,less than £350k,330,,,,,,,,,,,,,,,,,
1014,766,-248,,Mexborough BUASD,Mexborough,Yorkshire and Humberside,766,692,214,910,1057,less than £350k,333,,,,,,,,,,,,,,,,,
732,766,34,,Bebington BUASD,Bebington,North West,766,855,559,610,857,less than £350k,331,,,,,,,,,,,,,,,,,
1162,766,-396,,Carlton in Lindrick BUA,Carlton in Lindrick,East Midlands,766,1263,134,775,802,less than £350k,332,,,,,,,,,,,,,,,,,
630,769,139,,Neston BUA,Neston,North West,769,772,781,912,372,£350k-£650k,346,,,,,,,,,,,,,,,,,
1013,770,-243,,Bishop's Stortford BUA,Bishop's Stortford,East of England,770,760,1003,656,468,Over £650k,90,,,,,,,,,,,,,,,,,
629,771,142,,Warrington BUA,Warrington,North West,771,735,877,791,457,less than £350k,334,,,,,,,,,,,,,,,,,
397,772,375,,Cross Hills BUASD,Cross Hills,Yorkshire and Humberside,772,265,1162,467,936,less than £350k,335,,,,,,,,,,,,,,,,,
653,773,120,,Runcorn BUASD,Runcorn,North West,773,812,749,953,339,less than £350k,336,,,,,,,,,,,,,,,,,
831,774,-57,,Askam in Furness BUA,Askam in Furness,North West,774,562,770,438,1073,less than £350k,337,,,,,,,,,,,,,,,,,
285,775,490,,Bexhill BUASD,Bexhill,South East,775,254,1144,608,817,£350k-£650k,347,,,,,,,,,,,,,,,,,
1089,776,-313,,Borrowash BUASD,Borrowash,East Midlands,776,926,370,759,844,£350k-£650k,348,,,,,,,,,,,,,,,,,
850,777,-73,,Darwen BUASD,Darwen,North West,777,885,183,712,1145,less than £350k,338,,,,,,,,,,,,,,,,,
1207,777,-430,,Hucknall BUASD,Hucknall,East Midlands,777,1247,289,1134,156,less than £350k,339,,,,,,,,,,,,,,,,,
1099,779,-320,,Rushden BUASD,Rushden,East Midlands,779,1299,226,774,620,less than £350k,340,,,,,,,,,,,,,,,,,
420,780,360,,Bedale BUA,Bedale,Yorkshire and Humberside,780,993,1274,345,294,less than £350k,341,,,,,,,,,,,,,,,,,
274,781,507,,Headcorn BUA,Headcorn,South East,781,698,880,190,1138,£350k-£650k,349,,,,,,,,,,,,,,,,,
727,782,55,,Leicester BUASD,Leicester,East Midlands,782,1080,981,518,399,£350k-£650k,350,,,,,,,,,,,,,,,,,
650,783,133,,Claydon BUASD,Claydon,East of England,783,564,259,502,1341,£350k-£650k,351,,,,,,,,,,,,,,,,,
768,784,16,,Riccall BUA,Riccall,Yorkshire and Humberside,784,1258,996,312,385,£350k-£650k,352,,,,,,,,,,,,,,,,,
573,785,212,,Datchet BUA,Datchet,South East,785,392,892,394,1117,Over £650k,91,,,,,,,,,,,,,,,,,
415,786,371,,St Margaret's at Cliffe BUA,St Margaret's at Cliffe,South East,786,157,860,301,1327,£350k-£650k,353,,,,,,,,,,,,,,,,,
1322,787,-535,,Coseley BUASD,Coseley,West Midlands,787,585,296,1349,408,less than £350k,342,,,,,,,,,,,,,,,,,
556,788,232,,Billingshurst BUA,Billingshurst,South East,788,865,1333,505,106,£350k-£650k,354,,,,,,,,,,,,,,,,,
625,789,164,,Colden Common BUA,Colden Common,South East,789,167,1118,1036,543,£350k-£650k,355,,,,,,,,,,,,,,,,,
982,790,-192,,Seaton Sluice BUA,Seaton Sluice,North East,790,410,189,1075,1129,less than £350k,344,,,,,,,,,,,,,,,,,
911,790,-121,,Farndon (Newark and Sherwood) BUASD,Farndon (Newark and Sherwood),East Midlands,790,944,108,588,1284,less than £350k,343,,,,,,,,,,,,,,,,,
711,792,81,,Wolverhampton BUASD,Wolverhampton,West Midlands,792,555,1138,840,360,less than £350k,345,,,,,,,,,,,,,,,,,
477,793,316,,Kidderminster BUASD,Kidderminster,West Midlands,793,688,508,702,965,less than £350k,346,,,,,,,,,,,,,,,,,
759,794,35,,Histon BUASD,Histon,East of England,794,1333,715,626,197,Over £650k,92,,,,,,,,,,,,,,,,,
959,795,-164,,Neath BUASD,Neath,Wales,795,395,517,853,1012,less than £350k,348,,,,,,,,,,,,,,,,,
530,795,265,,Market Drayton BUA,Market Drayton,West Midlands,795,926,1128,555,364,less than £350k,347,,,,,,,,,,,,,,,,,
885,797,-88,,Fazeley BUASD,Fazeley,West Midlands,797,355,456,1063,925,£350k-£650k,356,,,,,,,,,,,,,,,,,
660,798,138,,Rugby BUASD,Rugby,West Midlands,798,911,893,641,528,£350k-£650k,357,,,,,,,,,,,,,,,,,
1202,799,-403,,Bishopthorpe BUA,Bishopthorpe,Yorkshire and Humberside,799,950,400,623,983,£350k-£650k,358,,,,,,,,,,,,,,,,,
931,799,-132,,Liversedge BUASD,Liversedge,Yorkshire and Humberside,799,1153,422,719,636,less than £350k,349,,,,,,,,,,,,,,,,,
859,801,-58,,Wootton Bassett BUA,Wootton Bassett,South West,801,845,845,907,314,£350k-£650k,359,,,,,,,,,,,,,,,,,
468,802,334,,Dyserth BUASD,Dyserth,Wales,802,446,787,497,1096,less than £350k,350,,,,,,,,,,,,,,,,,
88,803,715,,Tenbury Wells BUA,Tenbury Wells,West Midlands,803,164,1148,231,1262,£350k-£650k,360,,,,,,,,,,,,,,,,,
920,804,-116,,Menston BUASD,Menston,Yorkshire and Humberside,804,752,935,889,349,£350k-£650k,361,,,,,,,,,,,,,,,,,
324,805,481,,Leiston BUASD,Leiston,East of England,805,680,869,529,849,less than £350k,351,,,,,,,,,,,,,,,,,
380,806,426,,Denholme BUA,Denholme,Yorkshire and Humberside,806,1141,73,665,1215,less than £350k,352,,,,,,,,,,,,,,,,,
515,807,292,,Hadston BUA,Hadston,North East,807,757,168,1131,892,less than £350k,353,,,,,,,,,,,,,,,,,
938,808,-130,,Oakley (Basingstoke and Deane) BUA,Oakley (Basingstoke and Deane),South East,808,698,778,949,447,£350k-£650k,362,,,,,,,,,,,,,,,,,
1051,808,-243,,Mountsorrel BUASD,Mountsorrel,East Midlands,808,880,957,742,376,£350k-£650k,363,,,,,,,,,,,,,,,,,
739,810,71,,Long Sutton (South Holland) BUA,Long Sutton (South Holland),East Midlands,810,1133,904,338,664,less than £350k,354,,,,,,,,,,,,,,,,,
449,811,362,,Slough,Slough,South East,811,536,1238,939,150,£350k-£650k,364,,,,,,,,,,,,,,,,,
749,812,63,,Blaina BUASD,Blaina,Wales,812,807,114,891,1198,less than £350k,355,,,,,,,,,,,,,,,,,
967,813,-154,,Heanor BUASD,Heanor,East Midlands,813,990,524,914,524,less than £350k,356,,,,,,,,,,,,,,,,,
571,814,243,,Poynton BUASD,Poynton,North West,814,320,864,1125,485,£350k-£650k,365,,,,,,,,,,,,,,,,,
1118,814,-304,,Deeside Industrial Park BUASD,Deeside Industrial Park,Wales,814,716,867,1156,116,less than £350k,357,,,,,,,,,,,,,,,,,
178,816,638,,Beaminster BUA,Beaminster,South West,816,446,921,74,1335,£350k-£650k,366,,,,,,,,,,,,,,,,,
1043,817,-226,,Wallasey BUASD,Wallasey,North West,817,989,255,745,1023,less than £350k,358,,,,,,,,,,,,,,,,,
205,818,613,,Catterall BUASD,Catterall,North West,818,137,1078,813,908,less than £350k,359,,,,,,,,,,,,,,,,,
583,819,236,,Whittlesey BUA,Whittlesey,East of England,819,1007,687,608,680,less than £350k,360,,,,,,,,,,,,,,,,,
742,820,78,,Skegness BUA,Skegness,East Midlands,820,595,351,1054,915,less than £350k,361,,,,,,,,,,,,,,,,,
1067,821,-246,,Meopham (North) BUA,Meopham (North,South East,821,673,192,895,1160,£350k-£650k,367,,,,,,,,,,,,,,,,,
694,822,128,,Newport (Telford and Wrekin) BUA,Newport (Telford and Wrekin),West Midlands,822,1077,779,646,489,£350k-£650k,368,,,,,,,,,,,,,,,,,
627,823,196,,Coedpoeth BUA,Coedpoeth,Wales,823,649,405,673,1122,less than £350k,362,,,,,,,,,,,,,,,,,
690,823,133,,North Petherton BUA,North Petherton,South West,823,774,937,335,981,£350k-£650k,369,,,,,,,,,,,,,,,,,
1169,825,-344,,Wittering Airfield BUA,Wittering Airfield,East of England,825,1371,217,480,968,less than £350k,363,,,,,,,,,,,,,,,,,
194,826,632,,South Molton BUA,South Molton,South West,826,580,1263,51,1148,less than £350k,364,,,,,,,,,,,,,,,,,
866,827,-39,,Nuneaton BUASD,Nuneaton,West Midlands,827,865,336,1162,546,less than £350k,365,,,,,,,,,,,,,,,,,
924,828,-96,,Fleet BUA,Fleet,South East,828,307,1237,1236,48,£350k-£650k,370,,,,,,,,,,,,,,,,,
638,829,191,,Ramsey (Huntingdonshire) BUA,Ramsey (Huntingdonshire),East of England,829,1100,886,415,641,£350k-£650k,371,,,,,,,,,,,,,,,,,
422,830,408,,Longridge BUA,Longridge,North West,830,657,1098,662,552,less than £350k,366,,,,,,,,,,,,,,,,,
